ctable[][0]	ctable[][1]	ctable[][2]
0	0	0
313	313	508
625	625	1016
938	938	1524
1250	1250	2032
1563	1563	2540
1875	1875	3048
2188	2188	3556
2500	2500	4064
2813	2813	4572
3125	3125	5080
3438	3438	5588
3750	3750	6096
4063	4063	6604
4375	4375	7112
4688	4688	7620
5000	5000	8128
5313	5313	8636
5625	5625	9144
5938	5938	9652
6250	6250	10160
6563	6563	10668
6875	6875	11176
7188	7188	11684
7500	7500	12192
7813	7813	12700
8125	8125	13208
8438	8438	13716
8750	8750	14224
9063	9063	14732
9375	9375	15240
9688	9688	15748
10000	10000	16256
10313	10313	16764
10625	10625	17272
10938	10938	17780
11250	11250	18288
11563	11563	18796
11875	11875	19304
12188	12188	19812
12500	12500	20320
12813	12813	20828
13125	13125	21336
13438	13438	21844
13750	13750	22352
14063	14063	22860
14375	14375	23368
14688	14688	23876
15000	15000	24384
15313	15313	24892
15625	15625	25400
15938	15938	25908
16250	16250	26416
16563	16563	26924
16875	16875	27432
17188	17188	27940
17500	17500	28448
17813	17813	28956
18125	18125	29464
18438	18438	29972
18750	18750	30480
19063	19063	30988
19375	19375	31496
19688	19688	32004
20000	20000	32513
20313	20313	33021
20625	20625	33529
20938	20938	34037
21250	21250	34545
21563	21563	35053
21875	21875	35561
22188	22188	36069
22500	22500	36577
22813	22813	37085
23125	23125	37593
23438	23438	38101
23750	23750	38609
24063	24063	39117
24375	24375	39625
24688	24688	40133
25000	25000	40641
25313	25313	41149
25625	25625	41657
25938	25938	42165
26250	26250	42673
26563	26563	43181
26875	26875	43689
27188	27188	44197
27500	27500	44705
27813	27813	45213
28125	28125	45721
28438	28438	46229
28750	28750	46737
29063	29063	47245
29375	29375	47753
29688	29688	48261
30000	30000	48769
30313	30313	49277
30625	30625	49785
30938	30938	50293
31250	31250	50801
31563	31563	51309
31875	31875	51817
32188	32188	52325
32500	32500	52833
32813	32813	53341
33125	33125	53849
33438	33438	54357
33750	33750	54865
34063	34063	55373
34375	34375	55881
34688	34688	56389
35000	35000	56897
35313	35313	57405
35625	35625	57913
35938	35938	58421
36250	36250	58929
36563	36563	59437
36875	36875	59945
37188	37188	60453
37500	37500	60961
37813	37813	61469
38125	38125	61977
38438	38438	62485
38750	38750	62993
39063	39063	63501
39375	39375	64009
39688	39688	64517
40000	40000	65025
40197	40197	65025
40394	40394	65025
40591	40591	65025
40788	40788	65025
40985	40985	65025
41182	41182	65025
41379	41379	65025
41576	41576	65025
41773	41773	65025
41970	41970	65025
42168	42168	65025
42365	42365	65025
42562	42562	65025
42759	42759	65025
42956	42956	65025
43153	43153	65025
43350	43350	65025
43547	43547	65025
43744	43744	65025
43941	43941	65025
44138	44138	65025
44335	44335	65025
44532	44532	65025
44729	44729	65025
44926	44926	65025
45123	45123	65025
45320	45320	65025
45517	45517	65025
45714	45714	65025
45911	45911	65025
46108	46108	65025
46306	46306	65025
46503	46503	65025
46700	46700	65025
46897	46897	65025
47094	47094	65025
47291	47291	65025
47488	47488	65025
47685	47685	65025
47882	47882	65025
48079	48079	65025
48276	48276	65025
48473	48473	65025
48670	48670	65025
48867	48867	65025
49064	49064	65025
49261	49261	65025
49458	49458	65025
49655	49655	65025
49852	49852	65025
50049	50049	65025
50246	50246	65025
50444	50444	65025
50641	50641	65025
50838	50838	65025
51035	51035	65025
51232	51232	65025
51429	51429	65025
51626	51626	65025
51823	51823	65025
52020	52020	65025
52217	52217	65025
52414	52414	65025
52611	52611	65025
52808	52808	65025
53005	53005	65025
53202	53202	65025
53399	53399	65025
53596	53596	65025
53793	53793	65025
53990	53990	65025
54187	54187	65025
54384	54384	65025
54581	54581	65025
54779	54779	65025
54976	54976	65025
55173	55173	65025
55370	55370	65025
55567	55567	65025
55764	55764	65025
55961	55961	65025
56158	56158	65025
56355	56355	65025
56552	56552	65025
56749	56749	65025
56946	56946	65025
57143	57143	65025
57340	57340	65025
57537	57537	65025
57734	57734	65025
57931	57931	65025
58128	58128	65025
58325	58325	65025
58522	58522	65025
58719	58719	65025
58917	58917	65025
59114	59114	65025
59311	59311	65025
59508	59508	65025
59705	59705	65025
59902	59902	65025
60099	60099	65025
60296	60296	65025
60493	60493	65025
60690	60690	65025
60887	60887	65025
61084	61084	65025
61281	61281	65025
61478	61478	65025
61675	61675	65025
61872	61872	65025
62069	62069	65025
62266	62266	65025
62463	62463	65025
62660	62660	65025
62857	62857	65025
63055	63055	65025
63252	63252	65025
63449	63449	65025
63646	63646	65025
63843	63843	65025
64040	64040	65025
64237	64237	65025
64434	64434	65025
64631	64631	65025
64828	64828	65025
65025	65025	65025
