blue1[][0]	blue1[][1]	blue1[][2]
0	0	0
0	0	509
0	0	1275
0	254	2039
0	509	2805
0	764	3569
254	1020	4335
764	1275	5099
764	1530	5609
1020	1784	6120
1020	1784	6629
1020	2039	7395
1530	2550	8159
2039	2805	8924
2294	3060	9435
2550	3060	10199
2805	3569	11220
3060	3824	11984
3314	4080	12750
3824	4335	13259
3824	4590	13769
4080	4845	14280
4335	5354	15044
4845	5609	15555
5354	5865	16319
5609	6120	17085
6120	6629	17850
6120	6884	18614
6120	6884	19380
6120	7139	20144
6120	7139	20655
6375	7395	21164
6629	7650	21674
7139	7905	22185
7395	8159	22949
7650	8414	23715
8159	8669	24479
8669	8924	25245
8924	9180	26010
9180	9690	26774
9180	9690	27540
9180	9944	28049
9180	10199	28560
9435	10454	29070
9944	10710	29834
10199	10965	30600
10710	11220	31364
11220	11729	32130
11220	11729	32639
11220	11984	33149
11474	12240	33149
11984	12495	33149
12495	12750	33149
13005	13005	33660
13259	13259	33915
13259	13514	33915
13259	14025	34169
13514	14280	34424
13514	14280	34679
13514	14280	34679
14025	14535	35190
14280	14789	35445
14280	15299	35700
14535	15810	35954
14789	16065	35954
15555	16319	36209
16065	16574	36464
16319	16829	36975
16319	17085	36975
16319	17085	36975
16829	17340	37484
17085	17595	37739
17595	18104	37994
18104	18359	38250
18359	18614	38505
18359	18614	38760
18359	19125	39015
18614	19380	39269
19125	19634	39524
19380	19634	39779
19889	20144	40290
20144	20400	40545
20144	20400	40799
20400	20910	41054
20655	21164	41309
20910	21419	41565
21419	21674	42075
21674	21674	42329
21674	21674	42329
21674	21929	42584
21674	22185	42839
21674	22440	43095
22185	22695	43350
22695	23204	43350
23204	23459	43605
23204	23459	43860
23459	23715	44114
23715	24225	44369
23715	24479	44624
23715	24479	44880
23715	24734	45135
23970	24989	45390
24479	25245	45644
24734	25500	45899
25245	25755	46154
25500	26010	46410
25755	26519	46665
25755	27030	47174
25755	27030	47174
26010	27285	47174
26519	27794	47684
26774	28049	47939
27285	28304	48195
27540	28560	48450
27794	28815	48959
28049	28815	48959
28304	29070	49214
28815	29324	49725
28815	29324	49725
29324	29579	49980
29579	30090	50235
29834	30345	50489
29834	30345	50489
30090	30600	50744
30600	31109	50999
30855	31364	51255
31364	31619	51510
32130	31875	52020
32130	31875	52020
32385	32130	52020
32639	32385	52529
32894	32639	52784
32894	33149	53040
32894	33405	53295
33149	33660	53550
33149	33660	53550
33660	34169	53550
34169	34424	53550
34169	34424	53550
34679	34679	53550
35190	35190	53550
35445	35445	53804
35445	35700	53804
35700	35954	54059
35954	35954	54314
36209	36209	54570
36209	36464	54570
36464	36975	54570
36464	36975	54570
36975	37484	54570
37484	37739	54825
37739	37994	54825
38250	38250	54825
38505	38505	54825
39015	39015	55080
39015	39015	55080
39015	39269	55334
39015	39524	55334
39269	39779	55589
39779	40035	55589
40035	40290	55844
40035	40545	55844
40035	40799	55844
40290	41054	55844
40799	41309	55844
41054	41565	56100
41309	42075	56610
41309	42075	56610
41565	42329	56610
42329	42584	56610
42584	42839	56610
42839	43095	56865
43095	43350	56865
43350	43350	56865
43605	43605	56865
43860	43860	56865
44114	44114	57374
44114	44114	57374
44369	44369	57629
44369	44880	57629
44369	45135	57885
44624	45390	57885
44880	45390	57885
45390	45899	57885
45899	46154	57885
46154	46410	57885
46665	46665	57885
46920	46920	57885
47174	47174	57885
47684	47174	57885
47939	47684	57885
48195	47939	57885
48450	48195	58140
48450	48705	58649
48450	49214	58649
48450	49214	58649
48705	49725	58904
48705	49725	58904
48959	49980	58904
49469	50235	58904
49980	50489	58904
50235	50489	58904
50489	50744	58904
50999	50999	59415
51255	51255	59670
51510	51510	59670
51510	51765	59670
51765	52020	59925
52020	52274	59925
52020	52529	59925
52529	52784	59925
52784	53040	59925
53040	53295	59925
53295	53550	60179
53550	54059	60689
53550	54059	60689
53804	54059	60689
54314	54570	60689
54825	54825	60944
55334	55080	60944
55589	55334	60944
55844	55589	60944
55844	55844	60944
56355	56100	60944
56610	56355	60944
56610	56610	61200
56610	56865	61455
56610	57374	61710
56865	57629	61710
56865	57629	61710
57119	57629	61964
57374	57885	61964
57629	58140	61964
58140	58649	61964
58649	59159	61964
58904	59415	61964
59159	59415	62219
59670	59670	62474
59925	59925	62730
60434	60434	62985
60689	60689	62985
60689	60944	62730
60689	60944	62730
60944	61455	62730
60944	61710	62985
61200	61964	63240
61455	61964	63240
61964	62474	63494
62219	62730	63749
62730	62730	64004
63240	63240	64260
63494	63494	64515
63749	63749	64770
64004	64004	65025
64260	64260	65025
65025	65025	65025
