Phase1[][0]	Phase1[][1]	Phase1[][2]
0	0	65025
0	1032	65025
0	2064	65025
0	3096	65025
0	4129	65025
0	5161	65025
0	6193	65025
0	7225	65025
0	8257	65025
0	9289	65025
0	10321	65025
0	11354	65025
0	12386	65025
0	13418	65025
0	14450	65025
0	15482	65025
0	16514	65025
0	17546	65025
0	18579	65025
0	19611	65025
0	20643	65025
0	21675	65025
0	22707	65025
0	23739	65025
0	24771	65025
0	25804	65025
0	26836	65025
0	27868	65025
0	28900	65025
0	29932	65025
0	30964	65025
0	31996	65025
0	33029	65025
0	34061	65025
0	35093	65025
0	36125	65025
0	37157	65025
0	38189	65025
0	39221	65025
0	40254	65025
0	41286	65025
0	42318	65025
0	43350	65025
0	44382	65025
0	45414	65025
0	46446	65025
0	47479	65025
0	48511	65025
0	49543	65025
0	50575	65025
0	51607	65025
0	52639	65025
0	53671	65025
0	54704	65025
0	55736	65025
0	56768	65025
0	57800	65025
0	58832	65025
0	59864	65025
0	60896	65025
0	61929	65025
0	62961	65025
0	63993	65025
0	65025	65025
0	65025	65025
1032	65025	63993
2064	65025	62961
3096	65025	61929
4129	65025	60896
5161	65025	59864
6193	65025	58832
7225	65025	57800
8257	65025	56768
9289	65025	55736
10321	65025	54704
11354	65025	53671
12386	65025	52639
13418	65025	51607
14450	65025	50575
15482	65025	49543
16514	65025	48511
17546	65025	47479
18579	65025	46446
19611	65025	45414
20643	65025	44382
21675	65025	43350
22707	65025	42318
23739	65025	41286
24771	65025	40254
25804	65025	39221
26836	65025	38189
27868	65025	37157
28900	65025	36125
29932	65025	35093
30964	65025	34061
31996	65025	33029
33029	65025	31996
34061	65025	30964
35093	65025	29932
36125	65025	28900
37157	65025	27868
38189	65025	26836
39221	65025	25804
40254	65025	24771
41286	65025	23739
42318	65025	22707
43350	65025	21675
44382	65025	20643
45414	65025	19611
46446	65025	18579
47479	65025	17546
48511	65025	16514
49543	65025	15482
50575	65025	14450
51607	65025	13418
52639	65025	12386
53671	65025	11354
54704	65025	10321
55736	65025	9289
56768	65025	8257
57800	65025	7225
58832	65025	6193
59864	65025	5161
60896	65025	4129
61929	65025	3096
62961	65025	2064
63993	65025	1032
65025	65025	0
65025	65025	0
65025	63993	1032
65025	62961	2064
65025	61929	3096
65025	60896	4129
65025	59864	5161
65025	58832	6193
65025	57800	7225
65025	56768	8257
65025	55736	9289
65025	54704	10321
65025	53671	11354
65025	52639	12386
65025	51607	13418
65025	50575	14450
65025	49543	15482
65025	48511	16514
65025	47479	17546
65025	46446	18579
65025	45414	19611
65025	44382	20643
65025	43350	21675
65025	42318	22707
65025	41286	23739
65025	40254	24771
65025	39221	25804
65025	38189	26836
65025	37157	27868
65025	36125	28900
65025	35093	29932
65025	34061	30964
65025	33029	31996
65025	31996	33029
65025	30964	34061
65025	29932	35093
65025	28900	36125
65025	27868	37157
65025	26836	38189
65025	25804	39221
65025	24771	40254
65025	23739	41286
65025	22707	42318
65025	21675	43350
65025	20643	44382
65025	19611	45414
65025	18579	46446
65025	17546	47479
65025	16514	48511
65025	15482	49543
65025	14450	50575
65025	13418	51607
65025	12386	52639
65025	11354	53671
65025	10321	54704
65025	9289	55736
65025	8257	56768
65025	7225	57800
65025	6193	58832
65025	5161	59864
65025	4129	60896
65025	3096	61929
65025	2064	62961
65025	1032	63993
65025	0	65025
65025	0	65025
63993	0	65025
62961	0	65025
61929	0	65025
60896	0	65025
59864	0	65025
58832	0	65025
57800	0	65025
56768	0	65025
55736	0	65025
54704	0	65025
53671	0	65025
52639	0	65025
51607	0	65025
50575	0	65025
49543	0	65025
48511	0	65025
47479	0	65025
46446	0	65025
45414	0	65025
44382	0	65025
43350	0	65025
42318	0	65025
41286	0	65025
40254	0	65025
39221	0	65025
38189	0	65025
37157	0	65025
36125	0	65025
35093	0	65025
34061	0	65025
33029	0	65025
31996	0	65025
30964	0	65025
29932	0	65025
28900	0	65025
27868	0	65025
26836	0	65025
25804	0	65025
24771	0	65025
23739	0	65025
22707	0	65025
21675	0	65025
20643	0	65025
19611	0	65025
18579	0	65025
17546	0	65025
16514	0	65025
15482	0	65025
14450	0	65025
13418	0	65025
12386	0	65025
11354	0	65025
10321	0	65025
9289	0	65025
8257	0	65025
7225	0	65025
6193	0	65025
5161	0	65025
4129	0	65025
3096	0	65025
2064	0	65025
1032	0	65025
0	0	65025
